"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Troy Taylor","SEA","RP","40.7","38","2","0","4.33","1.39","20","38","19","5","42","0","2","0"
"Ryan Borucki","CWS","RP","19.8","19","1","0","4.02","1.32","9","18","8","2","20","0","1","0"
"Franco Aleman","CLE","RP","20.0","22","1","0","4.20","1.38","9","18","10","2","20","0","1","0"
"Joey Lucchesi","","RP","41.4","32","2","0","4.32","1.39","20","42","16","5","41","0","2","0"
"Jose Suarez","ATL","RP","21.6","21","1","0","4.20","1.31","10","21","7","3","19","0","1","0"
"Eduarniel Nunez","ATH","RP","45.7","47","2","0","4.44","1.47","23","41","26","5","44","0","2","0"
"Jedixson Paez","CWS","SP","30.0","23","1","0","4.37","1.31","15","31","9","4","28","0","1","0"
"Brandon Walter","HOU","SP","6.4","6","0","0","3.92","1.12","3","6","1","1","1","1","0","0"
"Yerry De los Santos","NYY","RP","36.5","30","2","0","4.10","1.36","17","35","14","4","34","0","2","0"
"Carson Seymour","SF","SP,RP","20.4","18","1","0","4.22","1.38","10","20","8","3","16","0","1","0"
"Beau Brieske","DET","RP","45.2","39","2","0","4.55","1.38","23","43","19","6","43","0","2","0"
"Jorge Lopez","","RP","30.3","25","2","0","4.46","1.36","15","30","11","4","31","0","2","0"
"Max Lazar","PHI","RP","38.4","31","2","0","4.43","1.33","19","39","12","5","37","0","2","0"
"Sammy Peralta","MIL","RP","15.7","14","1","0","4.33","1.33","8","15","5","2","13","0","1","0"
"John King","MIA","RP","48.2","31","2","0","4.15","1.40","22","53","14","5","48","0","2","0"
"Jhancarlos Lara","ATL","SP,RP","13.0","15","1","0","4.32","1.48","6","12","8","1","13","0","1","0"
"Jesse Scholtens","TB","SP,RP","32.5","29","1","0","4.42","1.32","16","32","11","5","27","0","2","0"
"John Klein","MIN","SP,RP","42.2","36","2","0","4.59","1.36","22","42","15","6","33","2","3","0"
"Tyson Neighbors","BAL","RP","18.2","18","1","0","4.20","1.33","8","16","8","2","18","0","1","0"
"Albert Suarez","BAL","SP,RP","24.5","20","1","0","4.61","1.37","13","25","8","4","20","0","1","0"
"Brandon Williamson","CIN","SP","55.0","46","2","0","4.72","1.37","29","54","21","9","34","3","3","0"
"Pedro Avila","CLE","RP","36.9","32","2","0","4.36","1.39","18","36","16","4","27","2","2","0"
"Brycen Mautz","STL","SP","18.6","16","1","0","4.28","1.32","9","18","6","2","16","1","1","0"
"Carter Baumler","TEX","SP,RP","49.3","42","2","0","4.59","1.42","25","48","22","6","47","0","3","0"
"Angel Bastardo","TOR","SP","23.7","23","1","0","4.27","1.37","11","22","10","3","21","1","1","0"
"Zach Pop","PHI","RP","31.9","25","1","0","4.51","1.40","16","33","12","4","32","0","2","0"
"Trevor Stephan","CLE","RP","15.1","14","1","0","4.30","1.32","7","14","6","2","15","0","1","0"
"Jose Castillo","","RP","20.5","21","2","0","3.73","1.29","9","19","8","2","19","0","1","0"
"Tyler Gilbert","CWS","SP,RP","35.4","32","2","0","4.43","1.36","17","34","14","5","33","0","2","0"
"RJ Petit","COL","RP","50.3","44","3","0","4.69","1.43","26","52","20","7","50","0","4","0"
"Ty Adcock","SD","RP","26.2","24","1","0","4.46","1.34","13","25","10","4","25","0","1","0"
"Kervin Castro","NYY","RP","28.5","27","2","0","4.32","1.37","14","26","13","3","28","0","1","0"
"Bailey Horn","DET","RP","38.7","36","2","0","4.40","1.43","19","37","18","5","38","0","2","0"
"Mitch Spence","KC","SP,RP","26.3","21","1","0","4.55","1.36","13","28","8","4","21","1","2","0"
"Domingo Gonzalez","SEA","RP","18.3","17","1","0","4.31","1.36","9","17","8","2","18","0","1","0"
"Kohl Drake","ARI","SP","18.8","17","1","0","4.45","1.38","9","19","7","3","5","3","1","0"
"Brandan Bidois","PIT","RP","40.5","38","2","0","4.50","1.44","20","38","20","5","39","0","3","0"
"Grant Holman","ARI","RP","19.6","17","1","0","4.28","1.39","9","19","8","2","20","0","1","0"
"Luis Curvelo","TEX","RP","33.3","30","2","0","4.47","1.36","17","31","14","5","32","0","2","0"
"Riley Martin","CHC","RP","18.0","18","1","0","4.04","1.43","8","16","10","2","18","0","1","0"
"Shane Murphy","CWS","RP","18.6","13","1","0","4.52","1.31","9","20","5","3","18","0","1","0"
"Chase Shugart","PHI","RP","37.8","31","2","0","4.59","1.38","19","37","15","5","35","0","2","0"
"Joey Gerber","NYM","SP,RP","18.3","18","1","0","4.47","1.30","9","17","7","3","16","0","1","0"
"Tanner Gordon","COL","SP","56.0","40","3","0","5.29","1.41","33","65","14","10","24","7","4","0"
"Joe Rock","TB","SP,RP","22.7","18","1","0","4.41","1.36","11","23","8","3","13","2","1","0"
"AJ Smith-Shawver","ATL","SP","9.9","10","0","0","4.08","1.30","4","9","4","1","7","1","0","0"
"Paul Gervase","LAD","RP","27.2","29","2","0","4.54","1.38","14","24","13","4","26","0","1","0"
"Wikelman Gonzalez","CWS","SP,RP","46.4","45","2","0","4.71","1.50","24","42","27","6","42","0","3","0"
"Keegan Thompson","COL","RP","35.8","35","2","0","4.69","1.43","19","36","16","5","32","0","2","0"
"Kyle Backhus","PHI","RP","47.0","46","2","0","4.27","1.35","22","44","20","6","50","0","3","0"
"Zach Agnos","COL","RP","54.2","43","2","2","5.01","1.46","30","57","23","9","53","0","3","0"
"David Sandlin","CWS","SP,RP","15.5","13","1","0","4.46","1.33","8","15","5","3","15","0","1","0"
"Lazaro Estrada","TOR","SP,RP","19.3","17","1","0","4.48","1.30","10","19","6","3","16","0","1","0"
"Adam Mazur","MIA","SP","27.8","21","1","0","4.62","1.36","14","29","9","4","16","2","2","0"
"Juan Morillo","ARI","RP","31.0","28","1","0","4.25","1.48","15","30","16","3","32","0","1","0"
"Osvaldo Bido","NYY","SP,RP","20.8","19","1","0","4.66","1.39","11","20","9","3","15","0","1","0"
"Chris Roycroft","STL","RP","40.1","32","2","0","4.39","1.46","20","40","18","4","38","0","2","0"
"Alex Carrillo","NYM","RP","21.4","24","1","0","4.34","1.37","10","18","11","3","20","0","1","0"
"Nick Burdi","NYM","RP","10.5","12","0","0","3.80","1.33","4","9","5","1","11","0","0","0"
"Mason Barnett","ATH","SP","33.6","29","2","0","4.75","1.42","18","33","14","5","20","3","2","0"
"Colin Poche","","RP","17.7","16","1","0","4.69","1.42","9","16","9","3","19","0","1","0"
"Tyler Samaniego","BOS","RP","35.4","29","2","0","4.44","1.43","18","36","15","4","35","0","2","0"
"Brandon Young","BAL","SP","26.4","23","1","0","4.41","1.32","13","27","8","4","20","2","2","0"
"Alek Jacob","SD","RP","36.0","32","2","0","4.83","1.41","19","35","16","6","33","0","2","0"
"Ty Madden","DET","RP","23.2","21","1","0","4.53","1.38","12","23","9","3","14","2","1","0"
"Josh Walker","BAL","RP","30.1","33","2","0","4.79","1.46","16","28","16","5","26","0","2","0"
"Cade Winquest","NYY","SP","34.0","27","1","0","4.76","1.40","18","34","14","5","30","0","2","0"
"Scott Alexander","","RP","30.4","22","2","0","4.28","1.41","14","32","11","3","32","0","2","0"
"Tate Kuehner","MIL","SP","11.4","10","1","0","4.35","1.41","6","11","6","1","11","0","1","0"
"Taylor Rashi","ARI","RP","19.7","19","1","0","4.51","1.49","10","19","11","2","12","0","1","0"
"Michel Otanez","TEX","RP","19.9","24","1","0","4.21","1.42","9","16","12","2","20","0","1","0"
"Jake Bloss","TOR","SP","11.2","9","0","0","4.58","1.39","6","11","4","2","10","0","0","0"
"Cody Laweryson","MIN","RP","22.3","19","1","0","4.25","1.34","11","22","8","2","20","0","1","0"
"Mason Black","KC","SP,RP","50.8","41","2","0","4.92","1.45","28","52","22","8","32","3","3","0"
"Tyler Uberstine","BOS","SP","17.3","15","1","0","4.45","1.33","9","17","6","2","11","2","1","0"
"James Karinchak","ATL","RP","11.9","14","1","0","4.51","1.40","6","10","6","2","12","0","1","0"
"J.P. France","HOU","SP,RP","16.0","14","1","0","4.71","1.43","8","16","7","2","13","1","1","0"
"Jose Espada","BAL","RP","17.6","19","1","0","4.48","1.37","9","16","8","2","15","0","1","0"
"Derek Law","ARI","RP","21.6","18","1","0","4.22","1.37","10","22","8","2","21","0","1","0"
"Jonathan Pintaro","NYM","SP,RP","25.2","24","1","0","4.04","1.36","11","23","11","3","21","2","1","0"
"Jake Bennett","BOS","SP","22.0","16","1","0","4.58","1.40","11","23","8","3","22","0","1","0"
"Ryan Harbin","PIT","RP","25.5","24","1","0","4.63","1.54","13","24","15","3","25","0","1","0"
"Carlos Hernandez","CLE","RP","18.2","18","1","0","4.26","1.36","9","17","8","2","18","0","1","0"
"Ryan Burr","","SP,RP","11.0","16","1","0","3.68","1.23","5","9","5","1","12","0","1","0"
"Kolby Allard","CLE","SP,RP","19.9","15","1","0","4.56","1.37","10","21","6","3","18","0","1","0"
"Rafael Montero","NYY","RP","30.7","29","1","0","4.46","1.40","15","28","15","4","31","0","1","0"
"Drew Smith","WSH","RP","25.9","26","1","0","4.52","1.35","13","24","11","4","26","0","2","0"
"Austin Peterson","CLE","SP","29.1","21","1","0","4.63","1.31","15","30","8","5","15","3","2","0"
"Konnor Pilkington","DET","RP","20.1","21","1","0","4.48","1.46","10","18","12","2","20","0","1","0"
"Codi Heuer","CLE","RP","18.0","20","1","0","3.99","1.30","8","16","8","3","12","0","1","0"
"Jackson Jobe","DET","SP,RP","7.7","6","0","0","4.57","1.41","4","7","4","1","3","1","0","0"
"Michael Grove","","RP","16.4","18","1","0","3.85","1.22","7","15","5","2","12","1","1","0"
"Kevin Herget","NYM","RP","9.4","8","1","0","4.15","1.22","4","9","3","1","6","0","0","0"
"Christian MacLeod","MIN","SP","5.4","4","1","0","4.63","1.59","3","6","2","1","4","1","1","0"
"Ronan Kopp","LAD","SP,RP","16.4","18","1","0","4.30","1.47","8","14","10","2","16","0","1","0"
"John Rooney","TB","RP","17.5","21","1","0","3.85","1.37","8","14","11","2","13","0","1","0"
"Zak Kent","MIN","RP","25.7","25","1","0","4.29","1.40","12","24","12","3","23","0","1","0"
"Francis Pena","SD","RP","6.2","5","1","0","4.50","1.47","3","6","3","1","6","0","0","0"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0"
"Ryan Lambert","NYM","RP","14.2","16","1","0","4.21","1.33","7","12","7","2","14","0","1","0"
"Kaleb Ort","LAA","RP","24.3","25","1","0","4.69","1.40","13","22","12","4","24","0","1","0"
"A.J. Causey","ATH","RP","12.1","10","1","0","4.41","1.38","6","12","5","2","12","0","1","0"
"Michael Petersen","MIA","RP","28.0","27","1","0","4.49","1.36","14","27","11","4","27","0","1","0"
"Tayler Saucedo","LAA","RP","30.5","27","1","0","4.30","1.42","15","30","14","3","31","0","2","0"
"Sauryn Lao","","RP","7.2","6","0","0","3.94","1.29","3","7","3","1","5","0","0","0"
"Angel Chivilli","NYY","RP","29.6","26","1","0","4.56","1.37","15","29","11","5","27","0","1","0"
"Bryce Montes de Oca","WSH","RP","9.5","11","0","0","4.03","1.46","4","8","6","1","9","0","1","0"
"Shawn Dubin","ARI","RP","13.6","13","1","0","4.05","1.37","6","13","6","1","12","0","1","0"
"Drew Sommers","DET","RP","21.0","18","1","0","3.93","1.36","9","20","8","2","21","0","1","0"
"Roansy Contreras","","SP,RP","32.9","24","2","0","4.92","1.46","18","35","14","6","22","1","2","0"
"Angel Perdomo","LAA","RP","14.5","17","1","0","4.42","1.41","7","12","8","2","14","0","1","0"
"Henry Baez","ATH","SP","13.2","10","1","0","4.33","1.40","6","13","5","1","11","0","0","0"
"Jose Franco","CIN","SP,RP","14.5","13","1","0","4.78","1.40","8","14","6","2","14","0","1","0"
"Wilber Dotel","PIT","SP","13.0","10","1","0","4.67","1.40","7","13","5","2","12","0","1","0"
"Dax Fulton","MIA","SP","13.0","11","1","0","4.51","1.47","7","13","6","2","13","0","1","0"
"Spencer Miles","TOR","SP","12.8","12","1","0","4.09","1.33","6","12","5","2","12","0","1","0"
"Jorge Alcala","TOR","RP","23.4","24","1","0","4.80","1.35","13","22","10","4","22","0","1","0"
"Jackson Wolf","SD","SP","7.7","7","0","0","4.23","1.35","4","7","3","1","2","0","0","0"
"Dugan Darnell","DET","RP","9.2","10","1","0","4.42","1.42","5","8","5","1","8","0","1","0"
"Chen Zhong-Ao Zhuang","ATH","SP","7.8","6","0","0","4.63","1.25","4","8","2","1","8","0","0","0"
"Marc Church","TEX","RP","30.6","29","2","0","4.94","1.57","17","29","19","4","30","0","2","0"
"K.C. Hunt","MIL","SP","6.2","5","0","0","4.30","1.31","3","6","2","1","6","0","0","0"
"Duncan Davitt","CWS","SP","17.2","13","1","0","4.63","1.36","9","18","5","3","15","0","1","0"
"Daniel Robert","PHI","RP","8.0","9","0","0","4.25","1.30","4","7","3","1","9","0","0","0"
"Jayden Murray","HOU","RP","40.1","34","2","0","4.57","1.39","20","39","17","5","39","0","2","0"
"Eli Morgan","KC","RP","28.3","24","1","0","4.64","1.36","15","28","10","4","26","0","1","0"
"Alan Rangel","PHI","SP,RP","22.9","19","1","0","4.79","1.33","12","23","8","4","13","2","1","0"
"Nolan Hoffman","PHI","SP,RP","15.7","15","1","0","4.46","1.43","8","15","8","2","16","0","1","0"
"Tom Cosgrove","HOU","RP","13.7","13","1","0","4.69","1.42","7","13","7","2","14","0","1","0"
"Garrett Acton","MIA","RP","20.3","20","1","0","4.55","1.36","10","19","9","3","20","0","1","0"
"Winston Santos","TEX","SP","16.6","20","1","0","4.33","1.38","8","15","8","3","4","4","1","0"
"Sam Benschoter","CIN","RP","14.6","11","1","0","4.70","1.41","8","15","5","2","13","0","1","0"
"Welinton Herrera","COL","RP","24.8","24","1","0","4.43","1.43","12","25","11","3","25","0","2","0"
"Cole Wilcox","SEA","RP","23.5","19","1","0","4.29","1.36","11","23","9","3","22","0","1","0"
"Yilber Diaz","ARI","RP","23.6","23","1","1","4.66","1.50","12","22","13","3","21","0","1","0"
"Lou Trivino","PHI","RP","21.0","18","1","0","4.57","1.40","11","21","9","3","21","0","1","0"
"Lyon Richardson","CIN","RP","23.7","20","1","0","4.58","1.48","12","23","12","3","22","0","1","0"
"Prelander Berroa","CWS","RP","29.3","30","1","0","4.58","1.50","15","27","17","4","29","0","2","0"
"Jhonathan Diaz","SEA","RP","8.2","6","0","0","4.33","1.35","4","9","2","1","5","1","0","0"
"Adam Macko","TOR","SP,RP","14.6","13","1","0","4.54","1.39","7","14","6","2","12","1","1","0"
"Tucker Davidson","PHI","RP","7.3","6","0","0","4.45","1.38","4","7","3","1","7","0","0","0"
"Easton Lucas","","SP,RP","21.9","21","1","0","4.31","1.41","11","21","11","3","12","1","2","0"
"Joe La Sorsa","PIT","RP","13.4","9","1","0","4.27","1.41","6","13","6","1","11","0","1","0"
"Daison Acosta","SD","RP","13.7","15","1","0","4.22","1.40","6","12","7","2","13","0","1","0"
"Marco Raya","MIN","SP,RP","21.9","19","1","0","4.69","1.48","11","22","11","3","22","0","1","0"
"Eric Cerantola","KC","RP","14.8","15","1","0","4.46","1.47","7","13","8","2","15","0","1","0"
"Dale Stanavich","MIA","RP","10.7","10","1","0","4.49","1.50","5","10","6","1","11","0","1","0"
"Gavin Hollowell","CHC","RP","24.7","25","1","0","4.44","1.41","12","22","13","3","24","0","1","0"
"Dom Hamel","NYY","SP,RP","14.1","13","0","0","4.61","1.39","7","14","6","2","14","0","1","0"
"Cameron Foster","BAL","RP","26.2","23","1","0","4.55","1.39","13","26","10","4","25","0","2","0"
"Joey Estes","ATH","SP","28.0","21","1","0","4.91","1.30","15","29","8","5","22","1","1","0"
"Josh Staumont","CIN","RP","10.0","10","0","0","4.78","1.44","5","9","5","1","10","0","0","0"
"Robert Stock","NYM","SP,RP","19.0","21","1","0","4.27","1.45","9","17","11","3","13","1","1","0"
"Chris Devenski","PIT","RP","19.0","16","1","0","4.53","1.33","10","19","6","3","18","0","1","0"
"Andrew Sears","DET","SP","6.0","5","0","0","4.36","1.37","3","6","2","1","6","0","0","0"
"Cionel Perez","WSH","RP","43.5","37","2","1","4.32","1.49","21","42","23","4","43","0","2","0"
"Thomas Harrington","PIT","SP,RP","20.4","16","1","0","4.75","1.37","11","21","7","3","10","3","1","0"
"Randy Dobnak","SEA","RP","11.8","9","1","0","4.48","1.42","6","12","5","1","9","0","1","0"
"Sam Bachman","LAA","RP","29.1","24","2","0","4.45","1.46","14","28","14","3","29","0","2","0"
"Alex Hoppe","SEA","RP","18.2","17","1","0","4.27","1.46","9","17","9","2","18","0","1","0"
"Orlando Ribalta","WSH","RP","33.4","31","1","0","4.84","1.48","18","32","17","5","33","0","2","0"
"Joe Ross","ARI","RP","14.3","11","1","0","4.57","1.40","7","15","5","2","12","1","1","0"
"Scott Effross","DET","RP","16.4","11","1","0","4.47","1.40","8","18","5","2","16","0","1","0"
"Juan Burgos","ARI","RP","27.3","23","1","0","4.52","1.43","14","27","12","3","27","0","1","0"
"Guillo Zuniga","SEA","RP","7.3","6","0","0","4.47","1.39","4","7","3","1","7","0","0","0"
"Seth Martinez","BOS","RP","18.2","15","1","0","4.57","1.39","9","18","7","2","18","0","1","0"
"Shinnosuke Ogasawara","WSH","SP,RP","13.5","9","1","0","4.50","1.35","7","14","4","2","11","0","1","0"
"Landon Knack","LAD","SP","20.9","19","1","0","4.99","1.39","12","20","9","4","12","2","1","0"
"Joe Elbis","","SP","5.2","4","0","0","4.93","1.42","3","6","2","1","2","1","0","0"
"Blake Walston","ARI","RP","10.0","9","1","0","4.96","1.49","6","10","5","1","5","1","1","0"
"Nabil Crismatt","TEX","SP,RP","21.5","17","1","0","5.24","1.47","13","24","8","5","11","1","1","0"
"Austin Love","STL","SP","27.1","23","1","0","4.65","1.43","14","27","12","4","27","0","2","0"
"Josh Fleming","TOR","SP,RP","19.2","10","1","0","4.61","1.44","10","21","7","2","12","0","1","0"
"Kyle Keller","BOS","RP","30.6","30","1","0","4.98","1.46","17","29","15","5","31","0","1","0"
"Dylan Coleman","NYY","RP","10.2","10","1","0","4.98","1.68","6","9","8","1","11","0","1","0"
"Julian Aguiar","CIN","SP","31.1","23","1","0","4.82","1.34","17","32","10","5","23","2","2","0"
"Carson Fulmer","PIT","SP,RP","18.8","16","1","0","4.32","1.47","9","19","9","2","10","1","1","0"
"Collin Snider","CHC","RP","11.9","10","1","0","4.54","1.36","6","12","4","2","12","0","1","0"
"Jake Eder","WSH","SP,RP","19.3","16","1","0","4.77","1.43","10","20","8","3","16","0","1","0"
"Alex Faedo","","SP,RP","14.3","15","1","0","4.10","1.30","7","13","6","2","8","1","1","0"
"Tyson Miller","CWS","RP","18.0","15","1","0","5.03","1.49","10","18","9","3","18","0","1","0"
"Ixan Henderson","STL","SP","14.0","12","1","0","3.85","1.35","6","12","7","1","12","1","1","0"
"Peyton Gray","TEX","RP","3.4","4","0","0","4.30","1.59","2","4","2","0","2","0","0","0"
"Ryan Loutos","SEA","RP","21.1","18","1","0","4.52","1.42","11","21","9","3","21","0","1","0"
"Tanner Houck","BOS","SP","17.2","14","1","0","4.43","1.35","8","17","6","2","7","2","1","0"
"Jose Urena","","SP,RP","37.7","25","2","0","5.01","1.54","21","41","17","7","12","5","3","0"
"Josh Ekness","MIA","RP","15.6","14","1","0","4.48","1.43","8","15","7","2","15","0","1","0"
"Tanner Rainey","DET","RP","14.1","14","1","0","4.54","1.42","7","13","8","2","14","0","1","0"
"Jayvien Sandridge","LAA","RP","22.9","26","1","0","4.59","1.53","12","20","15","3","24","0","1","0"
"Vinny Nittoli","BOS","RP","17.9","17","1","0","4.98","1.43","10","18","8","3","15","0","1","0"
"Scott McGough","","RP","26.2","24","1","0","4.86","1.42","14","26","11","4","25","0","1","0"
"Nick Anderson","ATH","RP","19.0","17","1","0","4.71","1.40","10","19","7","3","18","0","1","0"
"Jaden Woods","PIT","RP","16.9","14","1","0","4.77","1.50","9","17","8","2","17","0","1","0"
"Genesis Cabrera","PHI","RP","18.1","17","1","0","4.67","1.40","9","18","8","3","18","0","1","0"
"Scott Blewett","STL","RP","22.8","17","1","0","4.81","1.43","12","24","9","3","20","0","1","0"
"Jeff Criswell","COL","RP","14.2","14","1","0","4.84","1.47","8","15","6","2","13","0","1","0"
"Jack Neely","CHC","RP","18.1","19","1","0","4.60","1.46","9","16","10","2","18","0","1","0"
"Bryce Jarvis","ARI","RP","16.5","13","1","0","5.36","1.62","10","18","9","3","11","0","1","0"
"Doug Nikhazy","CLE","SP,RP","29.3","26","1","0","4.73","1.47","15","29","14","4","20","2","2","0"
"Caleb Boushley","","RP","24.9","19","1","0","4.52","1.41","13","27","9","4","15","1","2","0"
"Mitch Farris","LAA","SP","31.3","29","1","0","4.94","1.47","17","31","15","5","6","6","2","0"
"Blas Castano","SEA","SP,RP","12.0","9","0","0","4.53","1.38","6","12","4","2","10","0","1","0"
"Enoli Paredes","BAL","RP","9.6","11","1","0","3.75","1.35","4","8","6","1","8","0","1","0"
"John Brebbia","COL","RP","16.8","16","1","0","4.99","1.41","9","18","6","3","17","0","1","0"
"Miguel Castro","LAA","RP","12.3","11","1","0","4.66","1.38","6","11","6","2","13","0","0","0"
"Sam Aldegheri","LAA","SP","35.7","27","2","0","5.32","1.52","21","37","17","6","8","5","3","0"
"Dillon Tate","","RP","13.0","12","1","0","4.15","1.34","6","12","6","1","13","0","1","0"
"William Kempner","MIA","RP","22.5","22","1","0","4.70","1.48","12","21","12","3","22","0","2","0"
"Ben Lively","CLE","SP","7.5","6","0","0","4.82","1.34","4","8","3","2","2","2","1","0"
"Bryan Sammons","DET","RP","18.6","17","1","0","4.60","1.42","10","18","9","4","4","1","1","0"
"Corbin Martin","CHC","RP","9.2","8","1","0","4.59","1.45","5","9","5","1","9","0","1","0"
"Rolddy Munoz","ATL","RP","18.4","17","1","0","4.45","1.48","9","18","9","2","18","0","1","0"
"Ryder Ryan","LAD","RP","9.3","7","0","0","4.71","1.44","5","10","4","1","9","0","1","0"
"Gavin Collyer","TEX","RP","17.9","18","1","0","4.87","1.49","10","17","10","2","18","0","1","0"
"Michael Fulmer","SF","RP","18.6","19","1","0","4.05","1.29","8","17","8","2","18","0","1","0"
"Pete Hansen","STL","SP","8.7","6","0","0","4.65","1.44","4","10","3","1","2","2","1","0"
"T.J. McFarland","","RP","23.9","16","1","0","4.40","1.42","12","26","8","3","26","0","1","0"
"Carson Spiers","CIN","SP,RP","6.6","5","0","0","5.07","1.51","4","7","3","1","2","1","0","0"
"Hunter Strickland","LAA","RP","20.7","16","1","0","4.98","1.43","11","20","9","3","20","0","1","0"
"Cam Booser","TB","RP","13.6","16","1","0","4.56","1.48","7","13","7","2","14","0","1","0"
"Matt Waldron","SD","SP","15.2","12","1","0","4.95","1.38","8","16","5","2","4","3","1","0"
"Marco Gonzales","SD","SP","8.2","6","0","0","4.97","1.44","5","9","3","1","2","2","1","0"
"Triston McKenzie","SD","SP,RP","5.4","5","0","0","5.17","1.45","3","5","3","1","3","1","0","0"
"Cam Sanders","PIT","RP","28.5","28","1","0","4.69","1.53","15","26","17","3","28","0","2","0"
"Ben Kudrna","KC","SP","14.6","11","1","0","4.99","1.51","8","15","7","2","8","2","1","0"
"Robinson Pina","","SP,RP","10.5","9","1","0","4.27","1.28","5","11","3","2","8","1","1","0"
"Chayce McDermott","BAL","SP,RP","18.2","18","1","0","4.64","1.48","9","17","10","3","15","1","1","0"
"Matt Bowman","MIN","RP","16.6","13","1","0","4.75","1.38","9","17","6","2","14","0","1","0"
"Kevin Abel","CIN","P","5.9","5","0","0","5.28","1.54","3","6","3","1","6","0","0","0"
"Ryan Rolison","CHC","RP","27.5","21","1","0","4.57","1.42","14","28","11","4","25","0","1","0"
"Dan Altavilla","MIN","RP","24.7","20","1","0","4.71","1.48","13","24","13","3","25","0","1","0"
"Bryse Wilson","PHI","SP,RP","27.8","19","1","0","5.00","1.39","15","30","9","5","11","3","2","0"
"Anthony Misiewicz","CIN","RP","10.1","9","1","0","4.91","1.34","6","10","4","2","10","0","1","0"
"Mike Clevinger","PIT","RP","29.7","23","1","0","4.80","1.42","16","31","11","4","25","2","2","0"
"Hobie Harris","BOS","RP","7.3","6","0","0","4.83","1.54","4","8","4","1","7","0","1","0"
"Yoniel Curet","PHI","SP","10.4","9","0","0","4.95","1.54","6","10","6","1","5","2","1","0"
"Seth Johnson","PHI","SP,RP","20.0","18","1","0","4.75","1.48","11","20","10","3","18","0","1","0"
"Sean Sullivan","COL","SP","8.6","6","0","0","5.27","1.40","5","9","3","1","2","2","1","0"
"Brian Van Belle","TB","SP,RP","11.6","9","1","0","4.26","1.33","6","13","3","2","5","1","1","0"
"John Curtiss","ARI","RP","19.6","15","1","0","5.05","1.40","11","21","7","4","18","0","1","0"
"Tayler Scott","ATL","RP","13.6","13","1","0","5.12","1.53","8","13","8","2","12","0","0","0"
"Brandon Waddell","NYM","RP","15.3","13","1","0","4.87","1.47","8","16","7","2","5","0","1","0"
"Zack Thompson","STL","RP","17.2","17","1","0","4.48","1.46","9","16","9","3","12","1","1","0"
"Jackson Kowar","BAL","RP","16.4","15","1","0","4.76","1.46","9","16","8","2","16","0","1","0"
"Casey Lawrence","SEA","RP","8.2","4","0","0","5.37","1.43","5","10","2","1","2","2","1","0"
"Jack Little","DET","RP","12.6","10","1","0","4.29","1.35","6","12","5","1","8","0","1","0"
"Jake Miller","CLE","SP","9.5","7","1","0","4.75","1.44","5","10","4","1","9","0","1","0"
"Tejay Antone","CIN","SP,RP","17.6","15","1","0","5.01","1.49","10","19","8","2","17","0","1","0"
"Braden Nett","ATH","SP","28.0","23","1","0","4.91","1.51","15","28","14","4","15","3","2","0"
"Ben Bowden","ATH","RP","12.1","13","1","0","4.48","1.49","6","11","8","1","14","0","1","0"
"Jean Cabrera","PHI","SP","11.8","8","0","0","4.88","1.45","6","12","5","1","3","3","1","0"
"Jose De Leon","","SP,RP","29.2","28","1","1","5.24","1.61","17","30","18","5","6","6","2","0"
"Luis Guerrero","TB","RP","24.0","22","1","0","4.89","1.51","13","22","14","3","22","0","1","0"
"Isaiah Campbell","ARI","RP","16.4","12","1","0","4.70","1.45","9","18","6","2","14","0","1","0"
"Jairo Iriarte","CWS","RP","11.2","9","0","0","5.40","1.69","7","11","8","2","10","0","1","0"
"Walbert Urena","LAA","SP","13.0","9","1","0","5.00","1.58","7","14","7","1","11","0","1","0"
"Sam Long","","RP","23.0","21","1","0","5.08","1.54","13","24","12","4","22","0","2","0"
"Julian Merryweather","MIN","RP","8.6","8","0","0","5.29","1.50","5","9","4","1","9","0","0","0"
"Joel Hurtado","LAA","SP","7.9","5","0","0","5.34","1.53","5","9","3","1","6","0","1","0"
"Freddy Tarnok","","SP,RP","11.1","11","1","0","4.87","1.49","6","10","7","2","7","1","1","0"
"Victor Mederos","LAA","SP,RP","25.0","19","1","0","4.97","1.46","14","26","11","4","21","0","1","0"
"Jurrangelo Cijntje","STL","SP","16.6","13","1","0","4.62","1.45","9","17","8","3","4","4","1","0"
"Zach Brzykcy","MIA","RP","15.6","16","0","0","5.48","1.68","9","16","11","2","18","0","1","0"
"Nate Lavender","NYM","RP","14.2","15","1","0","4.74","1.44","8","13","8","2","14","0","1","0"
"Riley Cornelio","WSH","SP","27.5","19","1","0","5.29","1.53","16","29","13","4","6","5","2","0"
"Gabriel Hughes","COL","SP","25.6","18","1","0","5.05","1.48","14","29","9","4","18","2","2","0"
"Valente Bellozo","COL","SP,RP","12.7","9","0","0","5.06","1.42","7","14","4","2","10","1","1","0"
"Juan Sanchez","SF","RP","12.0","11","1","0","4.64","1.49","6","12","6","1","12","0","1","0"
"McCade Brown","COL","SP","26.7","25","1","0","5.17","1.46","15","27","12","4","9","4","2","0"
"Carson Palmquist","COL","SP,RP","23.7","22","1","0","5.17","1.51","14","24","12","4","18","1","2","0"
