"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Nestor Cortes Jr.","","SP","33.0","30","2","0","4.52","1.28","17","31","11","6","6","6","2","0"
"AJ Blubaugh","HOU","SP,RP","43.1","40","2","0","4.49","1.36","22","40","18","6","31","2","2","0"
"Evan Phillips","LAD","RP","24.0","26","2","0","3.45","1.16","9","20","7","3","25","0","1","0"
"Ryan Zeferjahn","LAA","RP","60.2","67","3","1","4.39","1.38","29","52","31","8","60","0","4","0"
"Joel Payamps","ATL","RP","51.3","48","3","0","4.10","1.28","23","49","16","7","53","0","2","0"
"Mason Fluharty","TOR","RP","42.8","44","2","0","3.99","1.29","19","38","18","5","43","0","2","0"
"Joel Peguero","SF","RP","52.8","44","3","3","4.48","1.43","26","53","22","6","51","0","3","0"
"Justin Martinez","ARI","RP","21.7","27","1","1","3.24","1.30","8","17","11","1","21","0","1","0"
"Kade Strowd","ARI","RP","58.2","55","3","2","4.18","1.40","27","55","26","6","58","0","3","0"
"Mike Vasil","CWS","SP,RP","77.3","62","3","1","4.45","1.39","38","75","32","10","63","1","4","0"
"Michael Kopech","","RP","39.8","44","2","0","4.51","1.41","20","33","23","6","40","0","2","0"
"Spencer Bivens","SF","RP","69.1","52","3","2","4.19","1.35","32","70","23","8","62","0","3","0"
"George Klassen","LAA","SP","29.7","28","2","0","4.51","1.42","15","28","14","4","16","3","2","0"
"Brandon Eisert","CWS","SP,RP","55.6","54","3","0","4.21","1.32","26","53","20","7","55","0","3","0"
"Josh White","MIA","RP","44.3","46","3","0","3.97","1.30","20","40","18","5","42","0","2","0"
"Adbert Alzolay","NYM","RP","44.2","42","2","0","4.18","1.26","21","41","15","6","44","0","3","0"
"Yoendrys Gomez","TB","SP,RP","55.1","55","3","0","4.35","1.32","27","50","23","8","35","4","3","0"
"Mitchell Parker","WSH","SP","60.1","45","3","0","4.61","1.36","31","62","20","8","27","6","4","0"
"DL Hall","MIL","SP,RP","52.6","50","3","0","4.11","1.36","24","48","24","6","45","0","2","0"
"Jake Bird","NYY","RP","54.7","57","3","0","3.94","1.30","24","48","23","6","52","0","3","0"
"Hunter Bigge","TB","RP","47.8","49","2","0","4.18","1.34","22","43","21","7","46","0","2","0"
"Ian Hamilton","ATL","RP","49.9","52","2","0","3.95","1.34","22","45","22","5","48","0","2","0"
"Brody Hopkins","TB","SP","8.5","8","0","0","4.53","1.45","4","8","4","1","2","2","1","0"
"Brenan Hanifee","DET","RP","58.8","44","3","0","3.94","1.30","26","60","17","6","55","0","3","0"
"Emerson Hancock","SEA","SP,RP","68.1","53","4","0","4.42","1.32","33","68","22","9","35","7","4","0"
"Lake Bachar","MIA","RP","50.1","50","3","0","4.34","1.35","24","46","21","7","47","0","3","0"
"Jon Gray","","RP","47.4","41","3","0","4.49","1.31","24","47","15","7","11","8","3","0"
"Dietrich Enns","BAL","SP,RP","59.3","55","3","0","4.21","1.34","28","59","20","8","51","0","3","0"
"Felix Bautista","BAL","RP","11.8","16","1","0","3.23","1.17","4","8","5","1","12","0","1","0"
"Ryan Brasier","TEX","RP","42.9","38","2","0","3.97","1.23","19","40","13","5","43","0","2","0"
"Coleman Crow","MIL","SP","24.9","25","1","0","3.78","1.20","10","22","8","3","17","2","1","0"
"Kai-Wei Teng","HOU","SP,RP","33.5","34","2","0","4.38","1.37","16","31","15","4","21","2","2","0"
"Brady Basso","ATH","RP","47.4","42","2","0","4.14","1.31","22","46","16","6","43","0","2","0"
"Hagen Smith","CWS","SP","16.9","17","1","0","4.51","1.47","8","14","10","2","3","3","1","0"
"Tanner McDougal","CWS","SP","30.7","26","1","0","4.66","1.42","16","30","14","4","12","5","2","0"
"Yuki Matsui","SD","RP","51.7","52","3","0","4.19","1.34","24","46","23","7","52","0","2","0"
"Jalen Beeks","","RP","45.6","41","3","0","4.02","1.33","20","43","18","5","45","0","2","0"
"Didier Fuentes","ATL","SP","10.3","10","1","0","4.64","1.37","5","11","3","2","5","2","1","0"
"Bradgley Rodriguez","SD","RP","43.4","40","3","0","4.18","1.39","20","40","20","5","42","0","2","0"
"Ethan Pecko","HOU","SP","10.9","10","1","0","4.13","1.38","5","10","6","2","3","3","1","0"
"Matt Gage","SF","RP","52.7","45","2","0","4.01","1.35","23","52","19","5","52","0","2","0"
"Anthony Banda","MIN","RP","59.5","57","3","1","4.34","1.38","29","55","26","8","59","0","3","0"
"Yohan Ramirez","PIT","RP","52.3","53","3","0","4.11","1.34","24","48","22","5","50","0","3","0"
"Erick Fedde","CWS","SP,RP","106.7","77","5","0","4.97","1.42","59","110","42","17","24","18","7","0"
"Luis Perales","WSH","SP,RP","27.8","27","2","0","4.34","1.42","13","25","14","3","17","2","2","0"
